Run,BL,PP,SW,Time,IE,CR
1,6.5,3.5,5.0,25.0,68.801,12.4844
2,10.0,2.5,2.5,15.0,84.714,2.02415
3,10.0,0.0,5.0,15.0,85.7331,1.88921
4,3.0,7.0,5.0,5.0,86.6111,2.73
5,6.5,3.5,5.0,15.0,87.6397,1.63673
6,6.33333,7.0,1.66667,15.0,85.6016,1.90662
7,3.0,7.0,5.0,25.0,67.7501,12.9
8,3.0,7.0,5.0,11.6667,86.6111,2.3
9,8.375,5.375,1.25,20.0,82.9303,1.94
10,7.75,4.75,2.5,10.0,84.4037,2.44
11,6.33333,7.0,1.66667,15.0,84.02,2.12
12,8.0,7.0,0.0,25.0,62.0,12.9
13,10.0,0.0,5.0,25.0,68.67,3.22
14,10.0,5.0,0.0,15.0,87.5411,1.64979
15,10.0,5.0,0.0,15.0,86.2919,1.81521
16,10.0,0.0,5.0,10.0,86.2,2.16
17,6.5,3.5,5.0,15.0,83.66,2.16
18,3.0,7.0,5.0,18.3333,83.4889,2.31
19,5.5,7.0,2.5,25.0,69.06,12.38
20,4.66667,7.0,3.33333,5.0,86.6111,2.72934
21,10.0,0.0,5.0,5.0,89.7502,2.08945
22,9.0,6.0,0.0,5.0,87.7643,2.49428
23,10.0,0.0,5.0,20.0,81.12,2.14
24,10.0,2.5,2.5,15.0,85.86,1.87
25,7.75,4.75,2.5,10.0,85.99,2.19
26,10.0,2.5,2.5,5.0,88.4689,2.35063
27,5.33333,4.66667,5.0,5.0,86.9955,2.65098
28,10.0,3.33333,1.66667,25.0,61.95,3.22
