Sample,Potential_V,Current1_A,Current2_A,HCl_M,Inhibitor_ppm,Temp_C
"1.75M,50PPM, 30",-2.01279,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-2.01035,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-2.0079,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-2.00546,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-2.00302,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-2.00058,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.99814,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.9957,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.99326,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.99081,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.98837,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.98593,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.98349,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.98105,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.97861,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.97617,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.97372,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.97128,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.96884,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.9664,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.96396,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.96152,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.95908,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.95663,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.95419,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.95175,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.94931,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.94687,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.94443,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.94199,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.93954,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.9371,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.93466,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.93222,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.92978,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.92734,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.9249,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.92245,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.92001,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.91757,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.91513,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.91269,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.91025,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.90781,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.90536,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.90292,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.90048,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.89804,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.8956,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.89316,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.89072,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.88828,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.88583,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.88339,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.88095,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.87851,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.87607,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.87363,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.87119,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.86874,-0.0999969,0.0999969,1.75,50,30
"1.75M,50PPM, 30",-1.8663,-0.0999969,0.0999969,1.75,50,30
