Sample,Time_s,OCP_V,Potential_V,HCl_M,Inhibitor_ppm,Temp_C
"1.75M,50PPM, 30",0.135917,-0.515198,-0.519348,1.75,50,30
"1M, 125PPM, 60",0.14791,-0.507263,-0.523529,1.0,125,60
"1M,125PPM,30",0.135916,-0.509857,-0.53302,1.0,125,30
"1.75M,50PPM, 60 DEGREES",0.138915,-0.509857,-0.533569,1.75,50,60
"1M , 200PPM, 45 DEGREES",0.143912,-0.503296,-0.531128,1.0,200,45
"1.75M,125PPM, 45DEGREES",0.128921,-0.496429,-0.508972,1.75,125,45
"1.75M,125PPM, 45DEEGREES",0.128921,-0.496429,-0.508972,1.75,125,45
"1.75M, 200PPM,30DEGREES",0.128921,-0.489471,-0.524384,1.75,200,30
"2.5M, 125PPM, 30DEGREES",0.168896,-0.494354,-0.528229,2.5,125,30
"2.5M, 200PPM, 45DEGREES",0.135916,-0.496948,-0.508881,2.5,200,45
"2.5M, 50PPM, 45DEGREES",0.168896,-0.489471,-0.524384,2.5,50,45
"1.75M, 200PPM, 60DEGREES",0.168896,-0.494354,-0.528229,1.75,200,60
"1.75M, 125PPM, 45DEGREES",0.135916,-0.496948,-0.508881,1.75,125,45
"2.5M, 125PPM, 60DEGREES",0.168896,-0.489471,-0.524384,2.5,125,60
"1.75M, 125PPM, 45DEGREES.1",0.14791,-0.507263,-0.523529,1.75,125,45
"1.75M, 125PPM, 45DEGREES.2",0.135917,-0.515198,-0.519348,1.75,125,45
"1M, 50PPM, 45DEGREES",0.135916,-0.509857,-0.53302,1.0,50,45
