Sample,HCl_M,Inhibitor_ppm,Temp_C,E_corr_V,j_corr_A_cm2,I_corr_A,CR_mm_yr,PR_ohm
"1.75M,50PPM, 30",1.75,50,30,-0.550265,0.00755068,0.00755068,87.7385,3.45103
"1M, 125PPM, 60",1.0,125,60,-0.500906,0.00673916,0.00673916,78.3086,3.86661
"1M, 125PPM, 30",1.0,125,30,-0.455019,0.00554402,0.00554402,64.4212,4.70014
"1.75M,50PPM, 60",1.75,50,60,-0.45776,0.00738004,0.00738004,85.7556,3.53083
"1M, 200PPM, 45",1.0,200,45,-0.4655,0.0032092,0.0032092,37.2908,8.11967
"1.75M,125PPM, 45",1.75,125,45,-0.432775,0.0107346,0.0107346,124.736,2.42744
"1.75M,125PPM, 45",1.75,125,45,-0.48953,0.010865,0.010553,101.784,2.23379
"1.75M, 200PPM,30",1.75,200,30,-0.424415,0.00447876,0.00447876,52.043,5.81805
"2.5M, 125PPM, 30",2.5,125,30,-0.441899,0.00301792,0.00301792,35.0681,8.63431
"2.5M, 200PPM, 45",2.5,200,45,-0.445793,0.00611543,0.00611543,71.0609,4.26097
"2.5M, 50PPM, 45",2.5,50,45,-0.4547969,0.0057397,0.0057397,94.8582,4.80546803
"1.75M, 200PPM, 60",1.75,200,60,-0.4990257,0.0052755,0.0052755,89.793579,4.57395
"1.75M, 125PPM, 45",1.75,125,45,-0.48193,0.0109384,0.0109384,111.142,2.2284
"2.5M, 125PPM, 60",2.5,125,60,-0.483805,0.0071983,0.0071983,85.0757,9.79327
"1.75M, 125PPM, 45",1.75,125,45,-0.48248,0.011034,0.011034,101.1982,2.7274
"1.75M, 125PPM, 45",1.75,125,45,-0.489747,0.0110092,0.0110092,124.123,2.1732
"1M, 50PPM, 45",1.0,50,45,-0.487375,0.0072894,0.0072894,85.492,9.2757
