Sample,Potential_V,Current1_A,Current2_A,NaOH_M,Inhibitor_ppm,Temp_C
"1.75M,50PPM, 30",-1.92978,-0.000157043,0.000157043,1.75,50,30
"1.75M,50PPM, 30",-1.92734,-0.000133453,0.000133453,1.75,50,30
"1.75M,50PPM, 30",-1.9249,-0.000119812,0.000119812,1.75,50,30
"1.75M,50PPM, 30",-1.92245,-0.000108826,0.000108826,1.75,50,30
"1.75M,50PPM, 30",-1.92001,-0.000102295,0.000102295,1.75,50,30
"1.75M,50PPM, 30",-1.91757,-9.62219e-05,9.62219e-05,1.75,50,30
"1.75M,50PPM, 30",-1.91513,-9.18579e-05,9.18579e-05,1.75,50,30
"1.75M,50PPM, 30",-1.91269,-8.74023e-05,8.74023e-05,1.75,50,30
"1.75M,50PPM, 30",-1.91025,-8.34656e-05,8.34656e-05,1.75,50,30
"1.75M,50PPM, 30",-1.90781,-7.95288e-05,7.95288e-05,1.75,50,30
"1.75M,50PPM, 30",-1.90536,-7.57141e-05,7.57141e-05,1.75,50,30
"1.75M,50PPM, 30",-1.90292,-7.3175e-05,7.3175e-05,1.75,50,30
"1.75M,50PPM, 30",-1.90048,-7.02026e-05,7.02026e-05,1.75,50,30
"1.75M,50PPM, 30",-1.89804,-6.81183e-05,6.81183e-05,1.75,50,30
"1.75M,50PPM, 30",-1.8956,-6.80511e-05,6.80511e-05,1.75,50,30
"1.75M,50PPM, 30",-1.89316,-6.86096e-05,6.86096e-05,1.75,50,30
"1.75M,50PPM, 30",-1.89072,-6.31104e-05,6.31104e-05,1.75,50,30
"1.75M,50PPM, 30",-1.88828,-6.17218e-05,6.17218e-05,1.75,50,30
"1.75M,50PPM, 30",-1.88583,-6.04675e-05,6.04675e-05,1.75,50,30
"1.75M,50PPM, 30",-1.88339,-5.80963e-05,5.80963e-05,1.75,50,30
"1.75M,50PPM, 30",-1.88095,-5.59448e-05,5.59448e-05,1.75,50,30
"1.75M,50PPM, 30",-1.87851,-5.51361e-05,5.51361e-05,1.75,50,30
"1.75M,50PPM, 30",-1.87607,-5.3772e-05,5.3772e-05,1.75,50,30
"1.75M,50PPM, 30",-1.87363,-5.33234e-05,5.33234e-05,1.75,50,30
"1.75M,50PPM, 30",-1.87119,-5.27313e-05,5.27313e-05,1.75,50,30
"1.75M,50PPM, 30",-1.86874,-5.10162e-05,5.10162e-05,1.75,50,30
"1.75M,50PPM, 30",-1.8663,-5.04181e-05,5.04181e-05,1.75,50,30
"1.75M,50PPM, 30",-1.86386,-4.87274e-05,4.87274e-05,1.75,50,30
"1.75M,50PPM, 30",-1.86142,-4.76379e-05,4.76379e-05,1.75,50,30
