Sample,Time_s,OCP_V,Potential_V,NaOH_M,Inhibitor_ppm,Temp_C
"1.75M,50PPM, 30",0.140234,-0.43219,0.352905,1.75,50,30
"1M, 125PPM, 60",0.141231,-0.274445,-0.177185,1.0,125,60
"1M,125PPM,30",0.134245,-0.49054,-0.285431,1.0,125,30
"1.75M,50PPM, 60 DEGREES",0.137739,-0.351501,-0.259033,1.75,50,60
"1M , 200PPM, 45 DEGREES",0.129754,-0.342926,0.507935,1.0,200,45
"1.75M,125PPM, 45DEGREES",0.137916,-0.560822,-0.645081,1.75,125,45
"1.75M,125PPM, 45DEEGREES",0.12892,-0.366974,0.497375,1.75,125,45
"1.75M, 200PPM,30DEGREES",0.169897,-0.108582,-0.213318,1.75,200,30
"2.5M, 125PPM, 30DEGREES",0.128922,0.0770264,0.508698,2.5,125,30
"2.5M, 200PPM, 45DEGREES",0.140913,-0.863037,-0.776062,2.5,200,45
"2.5M, 50PPM, 45DEGREES",0.14291,-0.377838,0.478851,2.5,50,45
"1.75M, 200PPM, 60DEGREES",0.12892,-0.374481,0.462738,1.75,200,60
"1.75M, 125PPM, 45DEGREES",0.13092,-0.366058,0.467743,1.75,125,45
"2.5M, 125PPM, 60DEGREES",0.14491,-0.381012,0.462341,2.5,125,60
"1.75M, 125PPM, 45DEGREES.1",0.156903,-0.359222,0.498627,1.75,125,45
"1.75M, 125PPM, 45DEGREES.2",0.12892,-0.353241,0.509521,1.75,125,45
"1M, 50PPM, 45DEGREES",0.147908,-0.363098,0.49408,1.0,50,45
