Sample,NaOH_M,Inhibitor_ppm,Temp_C,E_corr_V,j_corr_A_cm2,I_corr_A,CR_mm_yr,PR_ohm
"1.75M,50PPM, 30",1.75,50,30,-0.818033,1.76562e-07,1.76562e-07,0.00205164,147583
"1M, 125PPM, 60",1.0,125,60,-0.779654,7.65655e-06,7.65655e-06,0.0889687,3403.32
"1M, 125PPM, 30",1.0,125,30,-0.758955,4.98965e-07,4.98965e-07,0.00579794,52223.5
"1.75M,50PPM, 60",1.75,50,60,-1.16775,0.00386972,0.00386972,44.9659,6.73374
"1M, 200PPM, 45",1.0,200,45,-1.16189,0.00785407,0.00785407,91.2638,3.31773
"1.75M,125PPM, 45",1.75,125,45,-0.804412,0.00022075,0.00022075,2.5651,118.042
"1.75M,125PPM, 45",1.75,125,45,-1.18972,0.00754689,0.00754689,87.6944,3.45277
"1.75M, 200PPM,30",1.75,200,30,-1.08875,0.00594001,0.00594001,69.0226,4.38681
"2.5M, 125PPM, 30",2.5,125,30,-1.07923,0.07623,0.07623,885.788,0.34183
"2.5M, 200PPM, 45",2.5,200,45,-1.20909,3.61623e-17,3.61623e-17,4.20204e-13,720576000000000
"2.5M, 50PPM, 45",2.5,50,45,-1.20959,-9.04057e-18,-9.04057e-18,-1.05051e-13,-2882300000000000
"1.75M, 200PPM, 60",1.75,200,60,-1.20236,7.23246e-17,7.23246e-17,8.40407e-13,360288000000000
"1.75M, 125PPM, 45",1.75,125,45,-1.18233,0.0,0.0,0.0,∞
"2.5M, 125PPM, 60",2.5,125,60,-1.19212,-7.23246e-17,-7.23246e-17,-8.40407e-13,-360288000000000
"1.75M, 125PPM, 45",1.75,125,45,-1.17302,-0.00362077,-0.00362077,-42.0732,-7.19671
"1.75M, 125PPM, 45",1.75,125,45,-1.16402,0.00699532,0.00699532,81.2853,3.72501
"1M, 50PPM, 45",1.0,50,45,-1.14507,-0.000389075,-0.000389075,-4.52103,-66.9733
