iter	RMSE
0	75.19198667
1	72.87047889
2	70.53944389
3	68.29652709
4	66.40355082
5	64.56624896
6	62.93362828
7	61.21869118
8	59.82598289
9	58.47945189
10	57.02049451
11	56.30880102
12	55.03782897
13	54.36461404
14	53.05184011
15	52.40988354
16	51.39859595
17	50.26136456
18	49.31330082
19	48.60679374
20	48.0354086
21	47.0125408
22	46.59028557
23	45.96709484
24	45.43693291
25	44.9830868
26	43.92415267
27	43.41713088
28	42.57632691
29	41.82046458
30	41.20668842
31	40.44326426
32	39.58004968
33	38.8193029
34	37.87835545
35	37.37316652
36	36.95476962
37	36.49109262
38	36.11930114
39	35.59549275
40	34.96276277
41	34.59034934
42	34.1867938
43	33.6880823
44	33.35877465
45	32.72979364
46	32.43987115
47	32.09627312
48	31.82665182
49	31.3992087
50	31.14019916
51	30.66856761
52	30.21283532
53	29.85332969
54	29.51995337
55	29.29469269
56	28.78580036
57	28.57738453
58	28.3365501
59	28.0331317
60	27.68691013
61	27.19807129
62	27.02238675
63	26.7128208
64	26.46874578
65	26.21999166
66	25.70516459
67	25.15511803
68	25.00304488
69	24.65449232
70	24.34877549
71	24.16205626
72	23.77559409
73	23.57445226
74	23.2247265
75	22.78200027
76	22.47231005
77	22.35529517
78	22.24367499
79	22.03807982
80	21.8550639
81	21.66901134
82	21.42629816
83	21.14358693
84	20.99407809
85	20.84994422
86	20.72495158
87	20.58895115
88	20.44129143
89	20.3152154
90	20.0865319
91	19.96509454
92	19.84733238
93	19.72287944
94	19.58102313
95	19.37180934
96	19.26707235
97	19.00352928
98	18.9038659
99	18.59204527
100	18.49655291
101	18.40244528
102	18.28210814
103	18.19477599
104	18.01885052
105	17.93607919
106	17.66296161
107	17.5839895
108	17.50604879
109	17.40313543
110	17.25107059
111	17.15409187
112	17.06274467
113	16.85166621
114	16.78487857
115	16.59274452
116	16.40123693
117	16.19282027
118	16.12754302
119	16.04559077
120	15.96847056
121	15.80112774
122	15.72808672
123	15.65929916
124	15.50455847
125	15.36112729
126	15.23751452
127	15.12454924
128	15.06579053
129	15.01003409
130	14.94768377
131	14.80948433
132	14.70982389
133	14.65839145
134	14.61087568
135	14.45558032
136	14.39950765
137	14.25886232
138	14.21235656
139	14.11351522
140	14.04836351
141	13.98699555
142	13.86746783
143	13.75396633
144	13.68245026
145	13.58838408
146	13.51317616
147	13.44822663
148	13.39389871
149	13.284125
150	13.18253863
151	13.09535032
152	13.0590633
153	13.02437358
154	12.942242
155	12.89301992
156	12.85037947
157	12.80412515
158	12.73138262
159	12.66701694
160	12.60158995
161	12.54716768
162	12.51835899
163	12.46509795
164	12.42915251
165	12.36212222
166	12.31474421
167	12.28992442
168	12.25403292
169	12.22814711
170	12.16830486
171	12.13946033
172	12.09965614
173	12.036988
174	12.00304145
175	11.97315314
176	11.93677866
177	11.88308991
178	11.84326292
179	11.81707678
180	11.78337569
181	11.76141455
182	11.74032972
183	11.70744711
184	11.6455199
185	11.5904648
186	11.53898373
187	11.48651469
188	11.43964177
189	11.39723381
190	11.36097004
191	11.32214916
192	11.29167852
193	11.25647836
194	11.22982291
195	11.20989566
196	11.17180721
197	11.15341131
198	11.12466124
199	11.10297709
200	11.07892842
201	11.05531629
202	11.02962503
203	11.00690263
204	10.98858629
205	10.96169519
206	10.93292737
207	10.91903613
208	10.88685298
209	10.85632783
210	10.83823245
211	10.78993498
212	10.76538475
213	10.74891129
214	10.73239617
215	10.71680605
216	10.67233224
217	10.65466648
218	10.61691345
219	10.58701379
220	10.5669603
221	10.53979684
222	10.52542258
223	10.49937325
224	10.46840484
225	10.44501428
226	10.4319496
227	10.41107492
228	10.3988812
229	10.37840469
230	10.35766662
231	10.34625216
232	10.33220973
233	10.32149307
234	10.30289472
235	10.29271172
236	10.22835089
237	10.21436762
238	10.19650905
239	10.17094261
240	10.1614047
241	10.15238196
242	10.14384355
243	10.12550163
244	10.11733202
245	10.10620407
246	10.07137414
247	10.0551268
248	10.04734859
249	10.03998367
250	10.03300785
251	10.01011714
252	9.979392406
253	9.9696157
254	9.944420278
255	9.919338464
256	9.880849436
257	9.874288887
258	9.86609594
259	9.852645373
260	9.836851585
261	9.824644022
262	9.814128016
263	9.78707823
264	9.779345889
265	9.773347449
266	9.760879206
267	9.75523624
268	9.744359486
269	9.73512931
270	9.727453174
271	9.720188844
272	9.713576209
273	9.709403772
274	9.704511146
275	9.68599267
276	9.667719252
277	9.661932895
278	9.655417395
279	9.650982438
280	9.618438727
281	9.584774939
282	9.557208428
283	9.541181093
284	9.532718072
285	9.508065651
286	9.470703628
287	9.451034292
288	9.444141066
289	9.440142628
290	9.425494704
291	9.414947184
292	9.409589258
293	9.389330315
294	9.377372921
295	9.372492503
296	9.34610326
297	9.341486594
298	9.336288116
299	9.327093185
