iter	Passed	Remaining
0	0	263
1	1	254
2	2	241
3	3	237
4	3	233
5	4	233
6	5	223
7	6	220
8	6	219
9	7	219
10	8	219
11	8	208
12	9	209
13	10	204
14	11	210
15	11	204
16	12	205
17	13	206
18	13	204
19	14	203
20	14	197
21	15	196
22	15	191
23	16	190
24	16	186
25	17	185
26	18	185
27	18	181
28	19	181
29	20	181
30	21	182
31	21	182
32	22	182
33	23	182
34	24	183
35	25	185
36	26	188
37	27	189
38	27	186
39	28	185
40	29	184
41	30	184
42	30	182
43	31	181
44	31	181
45	32	180
46	32	177
47	33	177
48	34	174
49	34	173
50	35	171
51	35	170
52	36	169
53	37	169
54	37	168
55	38	166
56	39	166
57	39	165
58	40	167
59	41	167
60	43	170
61	44	169
62	44	167
63	45	167
64	46	166
65	46	166
66	47	165
67	48	165
68	48	163
69	49	162
70	50	162
71	51	161
72	51	160
73	52	160
74	53	159
75	54	159
76	54	158
77	55	157
78	55	156
79	57	156
80	57	156
81	58	156
82	59	155
83	60	154
84	61	154
85	61	153
86	62	153
87	63	152
88	64	151
89	64	151
90	65	150
91	66	150
92	67	149
93	68	149
94	68	148
95	69	148
96	70	148
97	72	148
98	73	148
99	73	147
100	74	146
101	75	146
102	76	145
103	76	145
104	77	144
105	78	143
106	79	142
107	79	142
108	80	141
109	81	140
110	82	140
111	83	139
112	83	138
113	84	137
114	85	137
115	86	137
116	87	137
117	88	136
118	89	136
119	90	135
120	91	134
121	91	134
122	92	133
123	93	132
124	94	132
125	95	131
126	95	130
127	96	129
128	97	129
129	98	128
130	99	127
131	99	127
132	100	126
133	101	126
134	102	125
135	103	125
136	104	124
137	105	123
138	106	123
139	107	122
140	107	121
141	108	120
142	109	120
143	110	119
144	111	118
145	111	117
146	112	117
147	113	116
148	114	115
149	115	115
150	115	114
151	116	113
152	117	113
153	118	112
154	119	112
155	120	111
156	121	110
157	122	109
158	122	108
159	123	108
160	124	107
161	125	106
162	126	105
163	126	105
164	127	104
165	128	103
166	129	102
167	130	102
168	131	101
169	132	101
170	133	100
171	134	100
172	135	99
173	136	98
174	136	97
175	137	96
176	138	96
177	139	95
178	139	94
179	140	93
180	141	92
181	142	92
182	142	91
183	143	90
184	144	89
185	145	88
186	145	88
187	146	87
188	148	87
189	149	86
190	149	85
191	150	84
192	151	84
193	152	83
194	153	82
195	154	81
196	154	81
197	155	80
198	156	79
199	157	78
200	157	77
201	158	76
202	159	76
203	160	75
204	161	74
205	162	74
206	163	73
207	164	72
208	165	71
209	165	71
210	166	70
211	167	69
212	168	68
213	168	67
214	169	67
215	170	66
216	171	65
217	171	64
218	172	63
219	173	63
220	174	62
221	174	61
222	175	60
223	176	59
224	177	59
225	178	58
226	179	57
227	180	56
228	181	56
229	181	55
230	182	54
231	183	53
232	184	52
233	184	52
234	185	51
235	186	50
236	187	49
237	187	48
238	188	48
239	189	47
240	190	46
241	190	45
242	191	44
243	192	44
244	193	43
245	194	42
246	195	41
247	196	41
248	197	40
249	197	39
250	198	38
251	199	38
252	200	37
253	201	36
254	201	35
255	202	34
256	203	33
257	203	33
258	204	32
259	205	31
260	205	30
261	206	29
262	207	29
263	208	28
264	209	27
265	210	26
266	211	26
267	212	25
268	212	24
269	213	23
270	214	22
271	214	22
272	215	21
273	216	20
274	217	19
275	217	18
276	218	18
277	219	17
278	220	16
279	220	15
280	221	14
281	222	14
282	223	13
283	224	12
284	225	11
285	226	11
286	227	10
287	228	9
288	228	8
289	229	7
290	230	7
291	231	6
292	231	5
293	232	4
294	233	3
295	234	3
296	235	2
297	235	1
298	236	0
299	237	0
