Stratify_by,Value,n,MAE,MAE_std,CR_mean
Phase_Group,P1,88,15.429554823856336,31.758032607910785,36.30644885823312
Phase_Group,P2,180,30.330050866718206,58.90691498665852,63.62444444444445
Phase_Group,P3,34,91.2375159528142,172.79585155517285,77.82285492000001
temp_bin,<=40C,50,45.32018768725653,146.59726107979606,45.20504436058236
temp_bin,40-60C,74,36.95029821724905,39.888592700369585,77.11589165427483
temp_bin,>60C,30,131.2878145975195,93.07432043711272,255.22007801313381
dose_bin,<=100,126,22.211844158036705,41.23628184865342,57.27555875623556
dose_bin,100-250,116,46.935186150851884,109.06974864578534,62.73986347861063
dose_bin,>250,60,27.93519275821457,60.872932736864534,46.64666666666667
Medium_Type,Acid,285,27.708439526458108,61.35625733601648,56.411427643945665
Medium_Type,Basic,17,118.96354458022104,199.2522942526666,71.53456989882355
Technique,Tafel (electrochemical),34,91.2375159528142,172.79585155517285,77.82285492000001
Technique,Weight loss,268,25.43735067353968,52.00125637285684,54.654356341509384
