Study,Phase_Group,Inhibitor_System,Technique,Medium_Type,Molarity_M,Dose_Value,Dose_Unit,Concentration_ppm,Temp_C,Time_h,CR_mm_yr,IE_percent
P1-Temperature,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,1.0,50.0,ppm,50.0,40.0,,22.136809361576102,49.7496
P1-Temperature,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,1.0,100.0,ppm,100.0,40.0,,15.389364538586852,65.0663
P1-Temperature,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,1.0,150.0,ppm,150.0,40.0,,12.975855428825312,70.5449
P1-Temperature,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,1.0,200.0,ppm,200.0,40.0,,10.899718560213252,75.2577
P1-Temperature,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,1.0,250.0,ppm,250.0,40.0,,10.108191379054908,77.0545
P1-Temperature,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,1.0,0.0,ppm,0.0,40.0,,44.05302918086199,
P1-Temperature,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,1.0,50.0,ppm,50.0,50.0,,44.1957635905792,29.961
P1-Temperature,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,1.0,100.0,ppm,100.0,50.0,,34.39899274181607,45.486
P1-Temperature,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,1.0,150.0,ppm,150.0,50.0,,25.47160420678417,59.634
P1-Temperature,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,1.0,200.0,ppm,200.0,50.0,,23.4992741816027,62.76
P1-Temperature,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,1.0,250.0,ppm,250.0,50.0,,18.451666419789643,70.759
P1-Temperature,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,1.0,0.0,ppm,0.0,50.0,,63.101584950377706,0.0
P1-Temperature,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,1.0,50.0,ppm,50.0,60.0,,82.29287512961041,25.738
P1-Temperature,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,1.0,100.0,ppm,100.0,60.0,,63.37407791438298,42.81
P1-Temperature,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,1.0,150.0,ppm,150.0,60.0,,49.55479188268403,55.281
