Study,Feature,n,full_model_R2,permutation_importance,R2_drop_when_removed
P1-Temperature,Dose_Value,30,0.8769647216073301,0.14313516141265267,0.2458455603434866
P1-Temperature,Temp_C,30,0.8769647216073301,1.8790800239318723,3.739666049636163
P2-Temperature,Dose_Value,90,0.8823829516535093,0.06802761598215042,0.07754254219642054
P2-Temperature,Temp_C,90,0.8823829516535093,1.7956009561574984,3.78450102199362
P2-Temperature,Molarity_M,90,0.8823829516535093,0.46989373058485934,0.3968489436301436
P3-Okro-Acid,Dose_Value,17,-0.33913459638632215,0.42546544230597083,0.6092549051024767
P3-Okro-Acid,Temp_C,17,-0.33913459638632215,0.5951332247152586,0.5946116653966268
P3-Okro-Acid,Molarity_M,17,-0.33913459638632215,0.3141646477320573,-0.20925659402342772
P3-Okro-Basic,Dose_Value,17,-1108.4180157806325,0.04098800241382568,-511.5774983420198
P3-Okro-Basic,Temp_C,17,-1108.4180157806325,0.873750701617813,1456.3092535837184
P3-Okro-Basic,Molarity_M,17,-1108.4180157806325,0.7659478444355937,4260.4156773803215
P1-Time,Dose_Value,30,0.48862716698952635,2.100445724076151,40.109512999693955
P1-Time,Time_h,30,0.48862716698952635,0.022732854009992982,0.08970696021103014
P2-Time,Dose_Value,90,-0.025751731787486264,1.052905223509697,0.334660880438554
P2-Time,Time_h,90,-0.025751731787486264,0.7438073395424101,0.05455220683076157
P2-Time,Molarity_M,90,-0.025751731787486264,0.57150932147344,0.19861645550686544
