Study,Dose_Value,actual_IE,predicted_IE_from_CR,abs_diff
P2-Temperature,50.0,32.7,32.61802575107296,0.08197424892703964
P2-Temperature,150.0,38.3,38.197424892703864,0.10257510729613273
P2-Temperature,250.0,57.0,57.08154506437768,0.0815450643776785
P2-Temperature,350.0,82.7,82.83261802575107,0.1326180257510714
P2-Temperature,450.0,90.8,90.98712446351931,0.18712446351931078
P2-Temperature,50.0,31.1,30.971659919028333,0.12834008097166816
P2-Temperature,150.0,35.0,35.020242914979754,0.020242914979753834
P2-Temperature,250.0,55.9,55.87044534412955,0.0295546558704487
P2-Temperature,350.0,78.0,77.93522267206477,0.06477732793523217
P2-Temperature,450.0,79.9,79.95951417004049,0.05951417004048665
P2-Temperature,50.0,22.0,21.91235059760956,0.08764940239043995
P2-Temperature,150.0,23.0,22.974767596281538,0.025232403718462137
P2-Temperature,250.0,39.0,39.04382470119522,0.04382470119521997
P2-Temperature,350.0,53.0,52.98804780876494,0.011952191235060639
P2-Temperature,450.0,64.0,64.01062416998671,0.010624169986712673
P2-Temperature,50.0,19.0,18.933969769291963,0.06603023070803715
P2-Temperature,150.0,20.0,19.968178202068422,0.03182179793157758
P2-Temperature,250.0,31.0,31.026252983293556,0.026252983293556298
P2-Temperature,350.0,41.0,41.05011933174225,0.050119331742251916
P2-Temperature,450.0,46.0,45.98249801113762,0.01750198886237797
P2-Temperature,50.0,13.1,13.045738045738043,0.0542619542619569
P2-Temperature,150.0,13.0,12.993762993762994,0.006237006237006071
P2-Temperature,250.0,19.0,19.022869022869017,0.02286902286901693
P2-Temperature,350.0,28.0,28.014553014553016,0.014553014553015942
P2-Temperature,450.0,31.0,30.977130977130972,0.02286902286902759
P2-Temperature,50.0,35.0,34.934934934934944,0.06506506506505616
P2-Temperature,150.0,37.9,37.937937937937946,0.0379379379379472
P2-Temperature,250.0,67.0,66.96696696696696,0.03303303303303551
P2-Temperature,350.0,74.0,73.97397397397397,0.02602602602603099
P2-Temperature,450.0,85.0,84.98498498498499,0.01501501501500968
P2-Temperature,50.0,34.0,33.93501805054151,0.06498194945849178
P2-Temperature,150.0,34.4,34.47653429602888,0.07653429602888195
P2-Temperature,250.0,66.0,66.06498194945848,0.06498194945848468
P2-Temperature,350.0,71.3,71.29963898916968,0.00036101083031780945
P2-Temperature,450.0,80.0,79.96389891696751,0.03610108303249149
P2-Temperature,50.0,20.0,19.945602901178606,0.05439709882139354
P2-Temperature,150.0,23.0,22.937443336355393,0.06255666364460666
P2-Temperature,250.0,41.0,40.97914777878513,0.020852221214866518
P2-Temperature,350.0,54.0,54.03445149592021,0.034451495920208686
P2-Temperature,450.0,61.8,61.83136899365367,0.03136899365367185
P2-Temperature,50.0,16.0,16.006984866123396,0.006984866123396216
P2-Temperature,150.0,18.0,17.986030267753204,0.013969732246795985
P2-Temperature,250.0,29.0,28.987194412107105,0.012805587892895431
P2-Temperature,350.0,81.1,81.08265424912689,0.01734575087310475
P2-Temperature,450.0,41.0,40.977881257275904,0.022118742724096307
P2-Temperature,50.0,9.0,8.99344848123883,0.0065515187611708825
P2-Temperature,150.0,11.0,10.98868374032163,0.011316259678370244
P2-Temperature,250.0,15.0,15.008933889219783,0.008933889219782998
P2-Temperature,350.0,17.0,17.004169148302566,0.004169148302565873
P2-Temperature,450.0,32.0,32.013103037522335,0.01310303752233466
